Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (USD),Weight,Qty owned,Wanted,Value new (USD),Value used (USD)
2437-1,Duplo,Western,1998,Sheriff Canister,2,69,,,0,,,
2438-1,Duplo,,1998,Big Western Set,6,62,,,0,,,
2449-1,Basic,,1998,"Basic Building Set, 3+",,466,,,0,,,
2453-1,Basic,,1998,Large Bulk Bucket,,1000,,,0,,,
2490-1,Space,Bonus/Value Pack,1998,Insectoids Combined Set,,172,,,0,,,
2494-1,Basic,,1998,Purple Bucket Set,,400,,,0,,,50
2531-1,Town,Special,1998,Rescue Chopper,2,97,,,0,,24.99,16.65
2554-1,Town,Racing,1998,Formula 1 Pit Stop,5,168,,,0,,36.87,32.96
2556-1,Model Team,,1998,Ferrari Formula 1 Racing Car,,580,,,0,,99.08,61.2
2583-1,Duplo,,1998,Fire Truck,,,,,0,,,
2584-1,Town,Special,1998,Biker Bob,1,22,,,1,,9.2,5
2585-1,Trains,9V,1998,Track Buggy with Station Master and Cool Kid,2,32,,,0,,39.86,24.95
2586-1,Castle,Miscellaneous,1998,The Crazy LEGO King,1,26,,,0,,33.57,15.58
2718-1,Town,Special,1998,Inflight Air 2000,3,142,,,0,,135.31,67.46
2763-1,Duplo,,1998,Playground Bucket,,50,,,0,,,
2818-1,Duplo,,1998,Family Home,4,56,,,0,,,108.71
2838-1,Duplo,,1998,Native American Family,4,77,,,0,,,
2847-2,Space,Insectoids,1998,Big Value Collectors' Bucket,,154,,,0,,,
2855-1,Primo,,1998,Baby tiger,1,4,,,0,,,
2866-1,Duplo,,1998,Attraction Centre,2,43,,,0,,86.9,32.23
2891-1,Castle,Dragon Knights,1998,Wizard Trader,1,17,,,0,,45.97,12.13
2892-1,Castle,Royal Knights,1998,Thunder Arrow Boat,1,20,,,0,,48.49,20
2895-1,Duplo,,1998,Rooster on Wheels,,19,,,0,,,
2898-1,Primo,,1998,Flower,,1,,,0,,,
2899-1,Primo,,1998,Bumblebee and Flower,,2,,,0,,,9.48
2907-1,Freestyle,,1998,"Play Desk Set, Blue",2,303,,,0,,,
2922-1,Duplo,,1998,Dinosaur Blocks,,28,,,0,,,
2995-1,Adventurers,Desert,1998,Adventurers Car,2,68,,,0,,84.62,44.5
2998-1,Promotional,Ferries,1998,Stena Line Ferry,1,197,,,0,,81.86,60.63
3012-1,Space,UFO,1998,Space Hover,1,20,,,0,,31.71,7.54
3013-1,Space,Spyrius,1998,Space Jet,1,23,,,0,,31.71,9.5
3014-1,Space,Ice Planet 2002,1998,Ice Planet Scooter,1,19,,,0,,27.1,11.04
3015-1,Space,Space Police 2,1998,Space Police Car,1,23,,,0,,18.22,14.6
3016-1,Castle,Ninja,1998,Master and Heavy Gun,1,24,,,0,,61.08,14.5
3018-1,Castle,Ninja,1998,LEGO Shogun Go!,1,25,,,0,,12.13,19.39
3020-1,Adventurers,Desert,1998,Jones' Raft,1,18,,,0,,31.06,4.72
3021-1,Adventurers,Desert,1998,King Farao Third,1,17,,,0,,16.26,8.3
3022-1,Adventurers,Desert,1998,Harry Caine's Airplane,1,23,,,0,,18.36,15
3023-1,Adventurers,Desert,1998,Sly Boot's Car,1,24,,,0,,16,10
3040-1,Basic,,1998,Challenger Set 200,1,153,,,0,,50.9,14.81
3042-1,Basic,,1998,Basic Building Set,,187,,,0,,,
3054-1,Technic,,1998,Motorcycle,,30,,,0,,5.42,7.23
3055-1,Adventurers,Desert,1998,Adventurers Car,1,16,,,0,,16.87,10
3056-1,Town,Racing,1998,Go-Kart,1,22,,,0,,5.42,3.5
3078-1,Basic,,1998,Car,,17,,,0,,11.42,0.67
3079-1,Basic,,1998,Duck,,14,,,0,,6.79,4.52
3080-1,Basic,,1998,Plane,,17,,,0,,18.44,6.35
3081-1,Basic,,1998,Helicopter,,17,,,0,,3.04,5.22
3100-1,Scala,Dolls,1998,Sporty SCALA Girl,,14,,,0,,18.13,
3101-1,Scala,Dolls,1998,Dressing Up,,11,,,0,,4.23,2.38
3102-1,Scala,Dolls,1998,Leisure Wear for Christian,,11,,,0,,6.29,5.81
3105-1,Scala,Dolls,1998,Emma in Flower Dress,1,8,,,0,,46.95,
3106-1,Scala,Dolls,1998,Marie in Rainbow Skirt,1,10,,,0,,40.11,32.77
3107-1,Scala,Dolls,1998,Andrea in Sun Dress,1,8,,,0,,25.39,
3112-1,Scala,Dolls,1998,Baby's Nursery,1,32,,,0,,36.77,
3114-1,Scala,Dolls,1998,My Place,,49,,,0,,,
3116-1,Scala,Dolls,1998,Cool Ice Cream Café,1,65,,,0,,45.52,
3120-1,Scala,Dolls,1998,Additional Room,,1,,,0,,68.9,39.45
3204-1,Scala,Dolls,1998,Auntie Jane and Cousin Sophie,2,27,,,0,,41.27,
3205-1,Scala,Dolls,1998,Julie's Picnic Lunch,1,26,,,0,,79.08,
3206-1,Scala,Dolls,1998,Ashley's Snack Time,1,18,,,0,,33.29,
3210-1,Scala,Dolls,1998,Party Dress and Accessories,,22,,,0,,16.36,
3211-1,Scala,Dolls,1998,Accessories for Anna,,21,,,0,,13.69,
3220-1,Scala,Dolls,1998,Christian with Gifts,1,16,,,0,,68.58,
3226-1,Freestyle,,1998,Cars and Planes Set,2,311,,,0,,,
3302-1,Town,Football,1998,Field Bases,,2,,,0,,36.79,17.87
3303-1,Town,Football,1998,Goals and Linesmen,3,48,,,0,,49.95,24.44
3304-1,Town,Football,1998,Dutch Footballer,1,4,,,0,,4.92,1.83
3305-1,Town,Football,1998,World Team / Scottish Footballer,1,4,,,0,,6.45,1.13
3306-1,Town,Football,1998,Goalkeepers,2,8,,,0,,15.71,6.1
3308-1,Town,Football,1998,Side Stand,3,84,,,0,,43.13,28.76
3309-1,Town,Football,1998,Head Stand,3,96,,,0,,59.18,26.67
3310-1,Town,Football,1998,Press Box,2,93,,,0,,65.49,15.68
3311-1,Town,Football,1998,Television Tower,2,99,,,0,,52.26,15.27
3312-1,Town,Football,1998,Paramedic Unit,2,78,,,0,,39.45,21.36
3313-1,Town,Football,1998,Lighting Towers,1,96,,,0,,49.11,29.35
3314-1,Town,Football,1998,Police Unit,4,143,,,0,,66.78,23.12
3317-1,Town,Football,1998,German Footballer,1,4,,,0,,6.66,
3318-1,Town,Football,1998,English Footballer,1,4,,,0,,5.13,
3320-1,Town,Football,1998,Austrian Footballer,1,4,,,0,,3.48,
3323-1,Town,Football,1998,German Footballer and Ball,1,5,,,0,,11.9,
3324-1,Town,Football,1998,World Footballer and Ball,1,5,,,0,,8.61,
3501-1,Znap,,1998,Jet-Car,,26,,,0,,14.3,3.39
3502-1,Znap,,1998,Bi-Wing,,24,,,0,,11.32,3
3503-1,Znap,,1998,Mini-Sonic,,22,,,0,,11.32,3.39
3504-1,Znap,,1998,Hook-Truck,,30,,,0,,14.57,5.78
3531-1,Znap,,1998,Tri-Bike,,29,,,0,,5,6.05
3532-1,Znap,,1998,Jet-Ski,,25,,,0,,20,3.96
3759-1,Basic,,1998,Anniversary Tub,,1200,,,0,,,
3760-1,Freestyle,,1998,Anniversary Bucket,,410,,,0,,,
3761-1,Freestyle,,1998,Anniversary Tub,,835,,,0,,60,
3762-1,Duplo,,1998,Limited Edition Duplo Bucket,1,70,,,0,,,
3888-1,Freestyle,,1998,Three '8's,,182,,,0,,33.04,8.5
3978-1,Gear,Key Chains/Castle,1998,Magic Wizard Key Chain ,,,3,,0,,,
4211-1,Basic,,1998,"Basic Building Set, 3+",,53,,,0,,9.97,
4212-1,Basic,,1998,"Basic Building Set, 3+",,95,,,0,,14.59,3.82
4213-1,Basic,,1998,"Basic Building Set, 3+",,563,,,0,,,35.95
4214-1,Basic,,1998,My Little Farm,,243,,,0,,,
4217-1,Basic,,1998,"Basic Building Set, 3+",,219,,,0,,18.76,
4219-1,Basic,,1998,"Basic Building Set, 3+",,288,,,0,,28.58,6.45
4220-1,Basic,,1998,Brick Pack 200,,428,,,0,,,
4221-1,Basic,,1998,"Basic Building Set, 5+",1,66,,0.095,0,,13.44,8.89
4222-1,Basic,,1998,Basic Box 5+,2,355,,,0,,40,15
4223-1,Basic,,1998,"Basic Building Set, 5+",,546,,,0,,,43.76
4224-1,Basic,,1998,My Home Bucket,2,359,,,0,,,
4225-1,Basic,,1998,"Basic Building Set, 5+",1,243,,,0,,18.38,11.6
4226-1,Basic,,1998,Freestyle Bucket,2,508,,,0,,,
4229-1,Basic,,1998,"Basic Building Set, 5+",,812,,,0,,62.29,
4244-1,Freestyle,,1998,XL Bucket Red,,416,,,0,,,
4259-1,Freestyle,,1998,Value Bucket XL,,651,,,0,,,
4267-1,Freestyle,,1998,Blue Bucket,,468,,,0,,40,
4269-1,Freestyle,,1998,Value Bucket,,316,,,0,,,
4273-1,Freestyle,,1998,Play Table Set,,248,,,0,,,
4274-1,Freestyle,,1998,Play Desk Blue,1,509,,,0,,,
4275-1,Basic,,1998,"Basic Bucket, Blue",,400,,,1,,,
4276-1,Freestyle,,1998,Build and Store Chest,,801,,,0,,,
4304-1,Town,Special,1998,Chopper Cop,1,17,,,0,,,3.53
4305-1,Space,UFO,1998,Cyborg Scout,1,36,,,0,,,
5022-1,Service Packs,Primo,1998,Primo / Duplo Converter Bricks,,4,,,0,,5,4.53
5023-1,Service Packs,Duplo,1998,Duplo Farm Fences,,4,,,0,,,
5295-1,Service Packs,Technic,1998,Steering Accessories,,12,,,0,,4.86,
5400-1,Service Packs,Scala,1998,LEGO Scala Fashion Accessories,,12,,,0,,4.28,
5401-1,Service Packs,Scala,1998,LEGO Scala Kitchen Accessories,,14,,,0,,,
5402-1,Service Packs,Scala,1998,LEGO Scala Floor Plate 17.5 x 35 cm,,1,,,0,,,
5403-1,Service Packs,Scala,1998,LEGO Scala Floor Plate 35 x 35 cm,,1,,,0,,,
5404-1,Service Packs,Scala,1998,LEGO Scala Basic House,,28,,,0,,67.53,
5405-1,Service Packs,Scala,1998,LEGO Scala Floor Plate 17.5 x 35 cm,,1,,,0,,,
5700-1,Gear,Video Games/PC,1998,LEGO Creator,,,,,1,,,
5701-1,Gear,Video Games/PC,1998,LEGO Loco,,,10,,1,,,
5702-1,Gear,Video Games/PC,1998,LEGO Chess,,,10,,1,,,
5841-1,Belville,,1998,Beach Fun,1,41,,,0,,22.2,55.21
5846-1,Belville,,1998,Desert Island,2,87,,,0,,75,29.28
5847-1,Belville,,1998,Surfers' Paradise,3,130,,,0,,94.07,
6028-1,Castle,Fright Knights,1998,Treasure Cart,1,22,,,0,,101.09,18.04
6100-1,Aquazone,Aquasharks,1998,Aquashark Dart,1,24,,,0,,24.34,4.62
6159-1,Aquazone,Hydronauts,1998,Crystal Detector,1,104,,,0,,,
6333-1,Town,Vehicles,1998,Race and Chase,2,50,,,1,,19.2,8
6415-1,Town,Res-Q,1998,Res-Q Jet-Ski,1,18,,,0,,4.44,4.05
6901-2,Space,UFO,1998,Space Plane,1,20,,,0,,15.31,6.31
8203-1,Technic,Microtechnic,1998,Rover Discovery,,37,,,0,,7.49,4.48
8204-1,Technic,Microtechnic,1998,Sky Flyer 1,,41,,,0,,17.13,10.24
8208-1,Technic,Microtechnic,1998,Custom Cruiser,,53,,,0,,26.13,9.09
8209-1,Technic,Microtechnic,1998,Future F1,,49,,,0,,19.99,6.51
8217-1,Technic,Microtechnic,1998,The Wasp,,64,,,0,,23.03,5.92
8218-1,Technic,Microtechnic,1998,Trike Tourer,,70,,,0,,10.93,5.65
8219-1,Technic,,1998,Racer,,103,,,0,,20,14.42
8233-1,Technic,Competition,1998,Blue Thunder vs. The Stinger,1,120,,,0,,17.66,11.35
8239-1,Technic,Competition,1998,Cyber Slam Spider,1,120,,,0,,45,13.34
8432-1,Technic,,1998,Concept Car,,471,,,0,,73.92,48.84
8482-1,Technic,Competition,1998,CyberMaster,1,889,,,0,,120.8,90.89
8483-1,Technic,,1998,CyberMaster,1,894,,,0,,210,90.17
9243-1,Dacta,,1998,"Doors, Windows and Roof Tiles",,240,,,0,,45.61,
9370-1,Dacta,Town,1998,Lego System Road Plates,,10,,,0,,,
9618-1,Dacta,Technic,1998,Structures Set,,463,,,0,,63.58,
9780-1,Education,,1998,ROBOLAB Starter Building Set,,1615,,,0,,,
9806-1,Gear,Furniture,1998,Play Table,,,,,0,,,
880001-1,Technic,Product collection,1998,Competition Racers and Stop Watch,,3,,,0,,82.01,
880002-1,Town,Product Collection,1998,World Cup Starter Set,,7,,,0,,115,57.28
ISBN9781570541575-1,Books,Klutz,1998,Crazy Action Contraptions: A LEGO Ideas Book,,60,,,0,,,
MM20JAN1998-1,Books,Mania Magazine,1998,Mania Magazine January - February 1998,,,,,0,,,
MM21MAR1998-1,Books,Mania Magazine,1998,Mania Magazine March - April 1998,,,,,0,,,
MM22MAY1998-1,Books,Mania Magazine,1998,Mania Magazine May - June 1998,,,,,0,,,
MM23JUL1998-1,Books,Mania Magazine,1998,Mania Magazine July - August 1998,,,,,0,,,
MM24SEP1998-1,Books,Mania Magazine,1998,Mania Magazine September - October 1998,,,,,0,,,
MM25NOV1998-1,Books,Mania Magazine,1998,Mania Magazine November - December 1998,,,,,0,,,
1841-1,Classic,,1999,{Aeroplane},,15,0,,0,,3.2,1.18
1995-1,Classic,,1999,{Racer},,15,0,,0,,3.83,1.3
2025-1,Classic,,1999,{Boat},,12,0,,0,,3.18,1.13
2045-1,Classic,,1999,{Car},,17,0,,0,,2.22,1.06
2047-1,Classic,,1999,{Aeroplane},,13,0,,0,,4.04,1.03
2069-1,Classic,,1999,{Boat},,15,0,,0,,5.29,0.99
2075-1,Classic,,1999,{Aeroplane},,14,0,,0,,4,0.98
4288-1,Classic,,1999,Classic Bucket,2,400,10,,0,,100,35.09
4293-1,Classic,,1999,Value Pack,,806,30,,0,,,42.99
4284-1,Classic,,1999,Trial Size Box 5+,1,121,6,,0,,14.87,
1194-1,Classic,,1999,Birthday Table Set,,400,20,,0,,,
5315-1,Service Packs,,1999,Connectors,,60,3,,0,,3.49,
4291-1,Classic,,1999,Big Box Playscape,2,762,40,,0,,,
1247-1,Town,City,1999,Patrol Car,1,32,1.7,,0,,9.99,3.7
4282-1,Classic,,1999,Trial Classic Bag 5+,,37,2,,0,,3,
5316-1,Service Packs,,1999,Transparent Accessories,,62,3.5,,0,,13.04,
1271-1,Adventurers,Jungle,1999,Jungle Surprise,1,33,2,,0,,50,19.42
5320-1,Service Packs,,1999,"Small Plates Assorted, White",,66,4,,0,,10.7,
1253-1,Town,Shell,1999,Shell Race Car Transporter,1,102,6.25,,0,,19.94,6.6
1246-1,Town,City,1999,Helicopter,1,26,1.7,,0,,5.04,3.42
1251-1,Town,City,1999,Go-Cart,1,26,1.7,,0,,11.98,6.76
1252-1,Town,Shell,1999,Shell Tanker,1,107,7,,0,,41.01,11.68
1250-1,Town,City,1999,Dragster,1,25,1.7,,0,,7.2,3.5
1248-1,Town,City,1999,Fire Boat,1,24,1.7,,0,,7.94,9.05
1268-1,Technic,,1999,Bike Blaster,,28,2,,0,,12.99,2.32
8255-1,Technic,,1999,Rescue Bike,2,202,15,,0,,70.89,32.79
4910-1,Rock Raiders,,1999,The Hover Scout,1,40,3,,0,,27.61,9.15
4283-1,Classic,,1999,Trial Size Box 3+,,53,4,,0,,4.49,3.37
6469-1,Town,Bonus/Value Pack,1999,Space Port Value Pack,,129,10,,0,,120,
8253-1,Technic,,1999,Fire Helicopter,1,210,16.5,,0,,25.9,9.96
1185-1,Castle,Ninja,1999,Raft,1,25,2,,0,,23.7,7.55
4281-1,Classic,,1999,Trial Classic Bag 3+,,25,2,,0,,5,
5215-1,Service Packs,,1999,Green Bricks Assorted,,62,5,,0,,9.98,
1254-1,Town,Shell,1999,Shell Convenience Store,3,159,13,,0,,45.7,24.11
1099-1,Castle,Ninja,1999,Ninja Blaster,1,24,2,,0,,19.95,7.83
5925-1,Adventurers,Jungle,1999,Pontoon Plane,1,72,6,,0,,51.44,10.96
1187-1,Castle,Ninja,1999,Glider,1,23,2,,0,,23.37,5
8246-1,Technic,,1999,Hydro Racer,,46,4,,0,,7.83,4.31
5216-1,Service Packs,,1999,Black Roof Bricks Assorted,,57,5,,0,,22.42,
8445-1,Technic,,1999,Indy Storm,,446,40,,0,,139.95,52.32
8251-1,Technic,,1999,Sonic Cycle,,89,8,,0,,14.15,7.42
8448-1,Technic,,1999,Super Street Sensation,,1437,130,,0,,620.56,121.62
6498-1,Town,Racing,1999,Go-Kart,1,22,2,,0,,5,5
7130-1,Star Wars,Episode V,1999,Snowspeeder,3,215,20,,0,,88.28,31.72
5936-1,Adventurers,Jungle,1999,Spider's Secret,3,128,12,,0,,118.75,26.92
6452-1,Town,Space Port,1999,Mini Rocket Launcher,1,32,3,,1,,16.46,3.42
1255-1,Town,Shell,1999,Shell Car Wash,2,137,13,,0,,54.2,23.71
5314-1,Service Packs,Town,1999,Town / Res-Q Equipment,,31,3,,0,,15.94,
6458-1,Town,Space Port,1999,Satellite with Astronaut,1,31,3,,1,,39.61,9.8
7111-1,Star Wars,Episode I,1999,Droid Fighter,,62,6,,1,,29.59,9.43
8444-1,Technic,,1999,Air Enforcer,,309,30,,0,,70,21.73
6439-1,Town,City,1999,Mini Dumper,1,30,3,,0,,17.58,7.31
6453-1,Town,Space Port,1999,Com-Link Cruiser,1,60,6,,0,,19.28,4.84
7171-1,Star Wars,Episode I,1999,Mos Espa Podrace,10,896,90,,0,Yes,256.44,137.84
5563-1,Model Team,,1999,Racing Truck,,788,80,,0,,512.12,329.05
4920-1,Rock Raiders,,1999,Rapid Rider,1,39,4,,0,,27.99,6.96
8446-1,Technic,,1999,Crane Truck,,582,60,,0,,108.76,86.16
3051-1,Castle,Ninja,1999,Blaze Attack,2,145,15,,0,,100,28.03
2774-1,Town,Special,1999,Red Tiger,3,141,15,,0,,33.39,24.16
4541-1,Trains,9V,1999,Rail and Road Service Truck,2,122,13,,0,,101.05,35.89
6437-1,Town,City,1999,Beach Buggy,1,28,3,,0,,9.53,2.82
7128-1,Star Wars,Episode VI,1999,Speeder Bikes,3,93,10,,0,,70,27.92
6425-1,Town,City,1999,TV Chopper,1,37,4,,1,,15,4.13
8252-1,Technic,,1999,Beach Buster,1,183,20,,0,,39,12
7131-1,Star Wars,Episode I,1999,Anakin's Podracer,3,136,15,,0,,77.67,20.91
1097-1,Town,Res-Q,1999,Res-Q Runner,1,18,2,,0,,7.97,7.5
6457-1,Town,Space Port,1999,Astronaut Figure,1,18,2,,0,,17.71,7.98
6463-1,Town,Space Port,1999,Lunar Rover,1,36,4,,0,,20.17,6.18
7141-1,Star Wars,Episode I,1999,Naboo Fighter,4,179,20,,0,,80.6,26.7
7140-1,Star Wars,Episode IV,1999,X-wing Fighter,4,266,30,,0,,163.31,58.7
3438-1,Town,Special,1999,McDonalds Restaurant,2,88,10,,0,,163.61,70.43
5956-1,Adventurers,Jungle,1999,Expedition Balloon,4,175,20,,0,,324,170.14
3050-1,Castle,Ninja,1999,Shanghai Surprise,3,104,12,,0,,90,31.07
7101-1,Star Wars,Episode I,1999,Lightsaber Duel,2,52,6,,0,,66.89,25.05
8269-1,Technic,Competition,1999,Cyber Stinger,1,345,40,,0,,48.65,25.03
1265-1,Town,Space Port,1999,Moon Buggy,1,25,3,,0,,,4.17
3053-1,Castle,Ninja,1999,Emperor's Stronghold,4,331,40,,0,,345.82,130.9
1249-1,Town,City,1999,Tri-motorbike,1,14,1.7,,0,,10.99,5.21
7121-1,Star Wars,Episode I,1999,Naboo Swamp,4,82,10,,0,,62.49,20.88
7150-1,Star Wars,Episode IV,1999,TIE Fighter & Y-wing,3,409,50,,0,,154.9,67.28
6455-1,Town,Space Port,1999,Space Simulation Station,3,245,30,,1,,75.71,34.7
7110-1,Star Wars,Episode IV,1999,Landspeeder,2,49,6,,0,,73.78,16.8
7151-1,Star Wars,Episode I,1999,Sith Infiltrator,1,244,30,,0,,81.99,34.26
1095-1,Aquazone,Hydronauts,1999,Super Sub,1,24,3,,0,,10,9
5533-1,Model Team,,1999,Red Fury,,393,50,,0,,75,57.04
1269-1,Castle,Ninja,1999,White Ninja,1,23,3,,0,,15,11.75
4930-1,Rock Raiders,,1999,The Rock Raiders,5,46,6,,0,,45.24,20.81
5318-1,Service Packs,,1999,Head Wear,,23,3,,0,,13.01,
5217-1,Service Packs,,1999,Black Plates Assorted,,42,5.5,,0,,8,
7161-1,Star Wars,Episode I,1999,Gungan Sub,3,379,50,,0,,169.87,56.5
8502-1,Technic,Slizer,1999,Turbo,,45,6,,0,,23.76,9.68
6459-1,Town,Space Port,1999,Fuel Truck,2,112,15,,0,,27.16,13.54
8247-1,Technic,,1999,Road Rebel,,44,6,,0,,9,4.71
8504-1,Technic,Slizer,1999,Jet,,44,6,,0,,24.5,8.73
4940-1,Rock Raiders,,1999,The Granite Grinder,1,109,15,,0,,88.73,39.46
1256-1,Town,Shell,1999,Shell Service Station,2,144,20,,0,,66.79,28.99
4557-1,Trains,9V,1999,Freight Loading Station,2,215,30,,0,,108.34,50
6427-1,Town,Accessories,1999,Road Signs,,43,6,,0,,35.03,23.19
6468-1,Town,City,1999,Tow-n-Go Value Pack,2,50,7,,0,,8.5,6
4980-1,Rock Raiders,,1999,The Tunnel Transport,2,351,50,,0,Yes,188.27,97.26
3036-1,Duplo,,1999,Large Bucket,1,70,10,,0,,,
9301-1,Education,,1999,Traffic Signs,,172,25.25,,0,,129.5,
8520-1,Technic,Slizer,1999,Millennium Slizer,,135,20,,0,,100,26.04
1070-1,Town,Extreme Team,1999,Stunt Flyer,1,20,3,,0,,10,1.82
6454-1,Town,Space Port,1999,Countdown Corner,1,133,20,,0,,63.46,18.39
6467-1,Town,City,1999,Power Pitstop,2,66,10,,1,,17.95,12.62
9748-1,Mindstorms,Star Wars,1999,Droid Developer Kit,,657,100,,0,,175,85.81
8503-1,Technic,Slizer,1999,Scuba,,39,6,,0,,25,6.25
4533-1,Trains,9V,1999,Train Track Snow Remover,1,58,9,,0,,60.93,27.32
5976-1,Adventurers,Jungle,1999,River Expedition,7,318,50,,0,,287.5,128.96
5319-1,Service Packs,,1999,Decorated Elements,,19,3,,0,,11.41,
6456-1,Town,Space Port,1999,Mission Control,4,494,79.99,,0,,264.82,54.27
4553-1,Trains,9V,1999,Train Wash,2,185,30,,0,,118.24,62.16
8507-1,Technic,Slizer,1999,Electro,,37,6,,0,,33.29,8.93
6432-1,Town,City,1999,Speedway Transport,2,134,22,,0,,51.52,12.7
8505-1,Technic,Slizer,1999,Amazon,,36,6,,0,,28.4,9.21
5986-1,Adventurers,Jungle,1999,Amazon Ancient Ruins,8,458,80,,0,,899.99,150
5313-1,Service Packs,,1999,Town / Space Accessories,,17,3,,0,,11.04,
8268-1,Technic,Competition,1999,Scorpion Attack,1,85,15,,0,,43.63,10
8501-1,Technic,Slizer,1999,Ski,,34,6,,0,,19.98,5.77
8506-1,Technic,Slizer,1999,Granite,,34,6,,0,,25,7.38
3052-1,Castle,Ninja,1999,Ninja Fire Fortress,3,169,30,,0,,135.9,53.59
4556-1,Trains,9V,1999,Train Station,7,236,42,,0,,135.72,54.8
4970-1,Rock Raiders,,1999,The Chrome Crusher,1,168,30,,0,Yes,199.99,64.88
8500-1,Technic,Slizer,1999,Torch,,33,6,,0,,25.23,8.43
4805-1,Castle,Ninja,1999,Ninja Knights,5,31,6,,0,,45.22,20.52
4561-1,Trains,9V,1999,Railway Express,9,665,130,,0,,292.97,164.01
4990-1,Rock Raiders,,1999,The Rock Raiders HQ,4,406,80,,0,Yes,513.51,155.23
9065-1,Education,Duplo,1999,Brick Bulk Set,,144,30.25,,0,,,
5801-1,Belville,Fairy-Tale,1999,Millimy the Fairy,1,14,3,,0,,33.97,10
4950-1,Rock Raiders,,1999,The Loader-Dozer,1,90,20,,0,,224,36.69
6464-1,Town,City,1999,Super Rescue Complex,6,334,76,,0,,90.44,45.83
4959-1,Rock Raiders,,1999,The Loader-Dozer,,87,20,,0,,,
5901-1,Adventurers,Jungle,1999,River Raft,1,19,4.5,,0,,24.9,11.45
5902-1,Adventurers,Jungle,1999,River Raft,1,19,4.5,,0,,19.5,12.14
6434-1,Town,City,1999,Roadside Repair,5,210,50,,0,,44,8.44
5804-1,Belville,Fairy-Tale,1999,Witch's Cottage,1,38,10,,0,,53.54,32.95
5415-1,Service Packs,Scala,1999,LEGO Scala,,15,4,,0,,10.67,
9747-1,Mindstorms,1.5,1999,Robotics Invention System 1.5,,717,200,,0,,127.49,92.5
5808-1,Belville,Fairy-Tale,1999,The Enchanted Palace,4,213,60,,0,,225,113.03
5205-1,Service Packs,Technic,1999,Technic Wheels and Rubber Bands,,14,4,,0,,9.06,
6429-1,Town,City,1999,Blaze Responder,2,45,13,,1,,20.51,7.77
6435-1,Town,City,1999,Coast Guard HQ,6,221,66,,0,,240,41.71
9680-1,Education,,1999,"Energy Work, Power Starter Set",,804,250,,0,,74.8,100
6433-1,Town,City,1999,Coast Watch,3,90,30,,1,,35,11.07
5805-1,Belville,Fairy-Tale,1999,Princess Rosaline's Room,2,69,24,,0,,35,40
3803-1,Mindstorms,1,1999,Robotics Invention System Upgrade Kit,,70,25,,0,,,
5204-1,Service Packs,Technic,1999,Technic Competition Accessories,,11,4,,0,,5,
2819-1,Duplo,,1999,Brick Mixer,1,68,25,,0,,,
9735-1,Mindstorms,1,1999,Robotics Discovery Set,,390,150,,0,,149.99,54.18
5321-1,Service Packs,,1999,Large White Plates Assorted,,10,4,,0,,,
8508-1,Technic,Slizer,1999,Supplementary Discs,,5,2,,0,,11.96,2.24
1129-1,Seasonal,Christmas,1999,Santa on Reindeer,,34,14,,0,,,
2284-1,Duplo,,1999,Clown Go Round,,14,6,,0,,,4.9
1193-1,Duplo,,1999,Water Park Tub ,2,44,20,,0,,,
3144-1,Scala,Dolls,1999,Horse Stable,,35,17,,0,,62.21,35.25
5807-1,Belville,Fairy-Tale,1999,The Royal Stable,3,61,30,,0,,,41.84
2280-1,Duplo,,1999,Brick Runner,,30,15,,0,,,27.03
1192-1,Primo,,1999,Stack N' Learn Gift Box,2,38,20,,0,,,
2803-1,Duplo,,1999,Dinosaur Babies,2,17,10,,0,,,59.99
2833-1,Duplo,Little Forest Friends,1999,"Lila, the Big Bluebell",2,32,20,,0,,118.07,7.18
2281-1,Duplo,,1999,Maxi Brick Runner,2,47,30,,0,,80.87,
1128-1,Seasonal,Christmas,1999,Santa on Skis,,21,14,,0,,16.99,3.42
3143-1,Scala,Dolls,1999,Camping Trip,1,60,41.5,,0,,53.4,34.32
2103-1,Primo,,1999,Busy Builder Starter Set,,7,5,,0,,,
2984-1,Duplo,Winnie the Pooh,1999,Pooh and Piglet go Honey-Hunting,2,20,15,,0,,,20.46
2831-1,Duplo,Little Forest Friends,1999,The Toadstools,2,13,10,,0,,30.48,18
5802-1,Belville,Fairy-Tale,1999,Princess Rosaline,1,9,7,,0,,22.45,29.41
2814-1,Duplo,,1999,Building Team,3,38,30,,0,,106.87,
9122-1,Duplo,Toolo,1999,Vehicles,2,86,69,,0,,,
2830-1,Duplo,Little Forest Friends,1999,The Strawberries,2,12,10,,0,,30.48,18.62
2983-1,Duplo,Winnie the Pooh,1999,Pooh and Tigger Play Hide and Seek,2,12,10,,0,,,24.25
2981-1,Duplo,Winnie the Pooh,1999,Pooh and his Honeypot,1,7,6,,0,,30,14.16
2107-1,Primo,,1999,Turtle Wagon,1,29,25,,0,,,
5812-1,Belville,Fairy-Tale,1999,King,1,8,7,,0,,13.1,6.97
3134-1,Scala,Dolls,1999,Marie in Happy Flowers,1,9,8,,0,,31.19,10.62
2821-1,Duplo,,1999,Dinosaurs Fun Forest,4,33,30,,0,,,
2987-1,Duplo,Winnie the Pooh,1999,Welcome to the Hundred Acre Wood,4,32,30,,0,,,54.15
